scope	status	symbol	expected_crc	expected_provider	actual
candidate-builtin	ok	connectivity_export_mmc_io_rw_direct	20b5b7e4	vmlinux+__crc+__ksymtab	symvers=20b5b7e4@vmlinux[line=2868];vmlinux=20b5b7e4@__crc_connectivity_export_mmc_io_rw_direct[line=39035];ksymtab=1
candidate-builtin	ok	connectivity_export_pmic_config_interface	9f50e6a6	vmlinux+__crc+__ksymtab	symvers=9f50e6a6@vmlinux[line=4143];vmlinux=9f50e6a6@__crc_connectivity_export_pmic_config_interface[line=39039];ksymtab=1
candidate-builtin	ok	connectivity_export_pmic_read_interface	179cf9a8	vmlinux+__crc+__ksymtab	symvers=179cf9a8@vmlinux[line=7194];vmlinux=179cf9a8@__crc_connectivity_export_pmic_read_interface[line=39040];ksymtab=1
candidate-builtin	ok	connectivity_export_pmic_set_register_value	a1a871b6	vmlinux+__crc+__ksymtab	symvers=a1a871b6@vmlinux[line=1505];vmlinux=a1a871b6@__crc_connectivity_export_pmic_set_register_value[line=39041];ksymtab=1
candidate-builtin	ok	connectivity_export_show_stack	0b9a1641	vmlinux+__crc+__ksymtab	symvers=0b9a1641@vmlinux[line=6885];vmlinux=0b9a1641@__crc_connectivity_export_show_stack[line=39042];ksymtab=1
candidate-builtin	ok	connectivity_export_slp_get_wake_reason	ed0dca64	vmlinux+__crc+__ksymtab	symvers=ed0dca64@vmlinux[line=2367];vmlinux=ed0dca64@__crc_connectivity_export_slp_get_wake_reason[line=39043];ksymtab=1
candidate-builtin	ok	connectivity_export_spm_get_last_wakeup_src	0da16274	vmlinux+__crc+__ksymtab	symvers=0da16274@vmlinux[line=5342];vmlinux=0da16274@__crc_connectivity_export_spm_get_last_wakeup_src[line=39044];ksymtab=1
candidate-builtin	ok	connectivity_export_tracing_record_cmdline	5d0e3a94	vmlinux+__crc+__ksymtab	symvers=5d0e3a94@vmlinux[line=1850];vmlinux=5d0e3a94@__crc_connectivity_export_tracing_record_cmdline[line=39045];ksymtab=1
candidate-builtin	ok	consume_skb	b87fdef5	vmlinux+__crc+__ksymtab	symvers=b87fdef5@vmlinux[line=4835];vmlinux=b87fdef5@__crc_consume_skb[line=39056];ksymtab=1
candidate-builtin	ok	copy_from_iter	f589d785	vmlinux+__crc+__ksymtab	symvers=f589d785@vmlinux[line=4896];vmlinux=f589d785@__crc_copy_from_iter[line=39060];ksymtab=1
candidate-builtin	ok	crc32_le	393d4de9	vmlinux+__crc+__ksymtab	symvers=393d4de9@vmlinux[line=3676];vmlinux=393d4de9@__crc_crc32_le[line=39154];ksymtab=1
candidate-builtin	ok	del_timer	cca27eeb	vmlinux+__crc+__ksymtab	symvers=cca27eeb@vmlinux[line=3263];vmlinux=cca27eeb@__crc_del_timer[line=39363];ksymtab=1
candidate-builtin	ok	del_timer_sync	6f0036d9	vmlinux+__crc+__ksymtab	symvers=6f0036d9@vmlinux[line=399];vmlinux=6f0036d9@__crc_del_timer_sync[line=39364];ksymtab=1
candidate-builtin	ok	delayed_work_timer_fn	6b06fdce	vmlinux+__crc+__ksymtab	symvers=6b06fdce@vmlinux[line=2943];vmlinux=6b06fdce@__crc_delayed_work_timer_fn[line=39365];ksymtab=1
candidate-builtin	ok	destroy_workqueue	8c03d20c	vmlinux+__crc+__ksymtab	symvers=8c03d20c@vmlinux[line=4199];vmlinux=8c03d20c@__crc_destroy_workqueue[line=39376];ksymtab=1
candidate-builtin	ok	dev_get_by_name	27e0a5f9	vmlinux+__crc+__ksymtab	symvers=27e0a5f9@vmlinux[line=4436];vmlinux=27e0a5f9@__crc_dev_get_by_name[line=39400];ksymtab=1
candidate-builtin	ok	device_create	3cc76f97	vmlinux+__crc+__ksymtab	symvers=3cc76f97@vmlinux[line=1185];vmlinux=3cc76f97@__crc_device_create[line=39466];ksymtab=1
candidate-builtin	ok	device_destroy	910b0592	vmlinux+__crc+__ksymtab	symvers=910b0592@vmlinux[line=2925];vmlinux=910b0592@__crc_device_destroy[line=39472];ksymtab=1
candidate-builtin	ok	devm_clk_get	bf08b43d	vmlinux+__crc+__ksymtab	symvers=bf08b43d@vmlinux[line=2373];vmlinux=bf08b43d@__crc_devm_clk_get[line=39507];ksymtab=1
candidate-builtin	ok	devm_pinctrl_get	50904256	vmlinux+__crc+__ksymtab	symvers=50904256@vmlinux[line=3908];vmlinux=50904256@__crc_devm_pinctrl_get[line=39532];ksymtab=1
candidate-builtin	ok	devm_pinctrl_put	cf174110	vmlinux+__crc+__ksymtab	symvers=cf174110@vmlinux[line=3912];vmlinux=cf174110@__crc_devm_pinctrl_put[line=39533];ksymtab=1
candidate-builtin	ok	disable_irq_nosync	27bbf221	vmlinux+__crc+__ksymtab	symvers=27bbf221@vmlinux[line=5824];vmlinux=27bbf221@__crc_disable_irq_nosync[line=39585];ksymtab=1
candidate-builtin	ok	dma_ops	2a69fbf4	vmlinux+__crc+__ksymtab	symvers=2a69fbf4@vmlinux[line=5329];vmlinux=2a69fbf4@__crc_dma_ops[line=39700];ksymtab=1
candidate-builtin	ok	do_gettimeofday	4f68e5c9	vmlinux+__crc+__ksymtab	symvers=4f68e5c9@vmlinux[line=6416];vmlinux=4f68e5c9@__crc_do_gettimeofday[line=39717];ksymtab=1
candidate-builtin	ok	down	360ff19f	vmlinux+__crc+__ksymtab	symvers=360ff19f@vmlinux[line=6172];vmlinux=360ff19f@__crc_down[line=39726];ksymtab=1
candidate-builtin	ok	down_interruptible	fa91eb38	vmlinux+__crc+__ksymtab	symvers=fa91eb38@vmlinux[line=2461];vmlinux=fa91eb38@__crc_down_interruptible[line=39727];ksymtab=1
candidate-builtin	ok	down_read_trylock	c25765b8	vmlinux+__crc+__ksymtab	symvers=c25765b8@vmlinux[line=5963];vmlinux=c25765b8@__crc_down_read_trylock[line=39730];ksymtab=1
candidate-builtin	ok	down_timeout	f4aa93f1	vmlinux+__crc+__ksymtab	symvers=f4aa93f1@vmlinux[line=7083];vmlinux=f4aa93f1@__crc_down_timeout[line=39731];ksymtab=1
candidate-builtin	ok	down_trylock	8974c179	vmlinux+__crc+__ksymtab	symvers=8974c179@vmlinux[line=1623];vmlinux=8974c179@__crc_down_trylock[line=39732];ksymtab=1
candidate-builtin	ok	down_write	404d62b9	vmlinux+__crc+__ksymtab	symvers=404d62b9@vmlinux[line=2034];vmlinux=404d62b9@__crc_down_write[line=39733];ksymtab=1
candidate-builtin	ok	emi_mpu_set_region_protection	c960739b	vmlinux+__crc+__ksymtab	symvers=c960739b@vmlinux[line=3158];vmlinux=c960739b@__crc_emi_mpu_set_region_protection[line=39836];ksymtab=1
candidate-builtin	ok	enable_irq	fcec0987	vmlinux+__crc+__ksymtab	symvers=fcec0987@vmlinux[line=5396];vmlinux=fcec0987@__crc_enable_irq[line=39841];ksymtab=1
candidate-builtin	ok	eth_type_trans	5f12889f	vmlinux+__crc+__ksymtab	symvers=5f12889f@vmlinux[line=6136];vmlinux=5f12889f@__crc_eth_type_trans[line=39862];ksymtab=1
candidate-builtin	ok	ether_setup	daa50c58	vmlinux+__crc+__ksymtab	symvers=daa50c58@vmlinux[line=850];vmlinux=daa50c58@__crc_ether_setup[line=39864];ksymtab=1
